site,hybrid,yield_mg_ha,grain_moisture,prcp_mm_day,srad_w_m_2,swe_kg_m_2,tmax_deg_c,tmin_deg_c,vp_pa,soilpH,om_pct,soilk_ppm,soilp_ppm,pHom,pk,soilpH^2,om_pct^2,p+k,norm_pk,previous_crop,longitude,latitude,DAP
IAH1,B68/PHZ51,14.44297307,19.5,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,159
IAH1,GT601/PHB47,10.47915143,22.4,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,159
IAH1,A680/LH82,13.49045801,21,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,159
IAH1,N542/PHZ51,10.66863091,19.3,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,159
IAH1,WF9/MO17,8.35121516,21.4,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,159
IAH1,PHV63/PHB47,12.26922204,18.9,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,159
IAH1,PHT69/PHZ51,9.895432609,17.3,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,159
IAH1,PHB47/Q381,12.32485613,16.9,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,159
IAH1,PH207/PHB47,10.72605454,17,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,159
IAH1,BSSSC0_032/LH82,9.229051767,20.5,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,159
