year,site,soilpH,om_pct,soilk_ppm,soilp_ppm,pHom,pk,soilpH^2,om_pct^2,p+k,norm_pk
2015,IAH1_2015,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579
2015,IAH3_2015,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5
2015,IAH4_2015,6.4,4.4,95,42,28.16,3990,40.96,19.36,137,0.386861314
2015,INH1_2015,6.1,2.9,86,14,17.69,1204,37.21,8.41,100,0.72
2015,KSH1_2015,6.5,2.1,145,11,13.65,1595,42.25,4.41,156,0.858974359
2015,MNH1_2015,6.2,4.2,109,19,26.04,2071,38.44,17.64,128,0.703125
2015,MOH1_2015,6.4,2.3,104,18,14.72,1872,40.96,5.29,122,0.704918033
2015,MOH2_2015,7.1,1.8,93.5,38.5,12.78,3599.75,50.41,3.24,132,0.416666667
2015,NEH2_2015,5.8,1.6,330,40,9.28,13200,33.64,2.56,370,0.783783784
2015,NEH3_2015,6.4,2,455,27,12.8,12285,40.96,4,482,0.887966805
2015,NYH2_2015,7.6,2.5,39,13,19,507,57.76,6.25,52,0.5
2015,NYH3_2015,7.8,2.4,49,21,18.72,1029,60.84,5.76,70,0.4
2015,SDH1_2015,6.5,3,316,26,19.5,8216,42.25,9,342,0.847953216
2015,WIH1_2015,6.9,3.4,142,43,23.46,6106,47.61,11.56,185,0.535135135
2015,WIH2_2015,6.4,3.1,200,82,19.84,16400,40.96,9.61,282,0.418439716
2016,ARH1_2016,NA,NA,123,40,#VALUE!,4920,#VALUE!,#VALUE!,163,0.509202454
2016,ARH2_2016,NA,NA,76,26,#VALUE!,1976,#VALUE!,#VALUE!,102,0.490196078
2016,DEH1_2016,5.7,2.3,174,157,13.11,27318,32.49,5.29,331,0.051359517
2016,GAH1_2016,6.6,1,164,128,6.6,20992,43.56,1,292,0.123287671
2016,GAH2_2016,5.8,2.7,70,10,15.66,700,33.64,7.29,80,0.75
2016,IAH1_2016,6.8,NA,215,110,#VALUE!,23650,46.24,#VALUE!,325,0.323076923
2016,IAH2_2016,5.9,NA,159,42,#VALUE!,6678,34.81,#VALUE!,201,0.582089552
2016,IAH3_2016,6.9,NA,274,70,#VALUE!,19180,47.61,#VALUE!,344,0.593023256
2016,IAH4_2016,6.7,NA,209,31,#VALUE!,6479,44.89,#VALUE!,240,0.741666667
2016,ILH1_2016,6,3.7,120,12,22.2,1440,36,13.69,132,0.818181818
2016,INH1_2016,6,2.8,123,6,16.8,738,36,7.84,129,0.906976744
2016,MIH1_2016,5.7,3,181,31,17.1,5611,32.49,9,212,0.70754717
2016,MNH1_2016,6.2,4.4,188,21,27.28,3948,38.44,19.36,209,0.799043062
2016,MOH1_2016,6.7,2.2,150,35,14.74,5250,44.89,4.84,185,0.621621622
2016,NCH1_2016,5.5,2.3,209,138,12.65,28842,30.25,5.29,347,0.204610951
2016,NYH2_2016,7.3,3.1,76,58,22.63,4408,53.29,9.61,134,0.134328358
2016,OHH1_2016,5.4,3.7,165,28,19.98,4620,29.16,13.69,193,0.70984456
2016,ONH1_2016,7.2,2.8,162,98,20.16,15876,51.84,7.84,260,0.246153846
2016,TXH1_2016,7.9,NA,341,43,#VALUE!,14663,62.41,#VALUE!,384,0.776041667
2016,TXH2_2016,7.5,NA,422,35,#VALUE!,14770,56.25,#VALUE!,457,0.846827133
2016,WIH1_2016,7,3.1,130,49,21.7,6370,49,9.61,179,0.452513966
2016,WIH2_2016,6.8,3.1,78,4,21.08,312,46.24,9.61,82,0.902439024
2017,COH1_2017,8.3,2.65,404,34,21.995,13736,68.89,7.0225,438,0.844748858
2017,DEH1_2017,6,1.6,120,87,9.6,10440,36,2.56,207,0.15942029
2017,GAH1_2017,6.6,1,95,123,6.6,11685,43.56,1,218,-0.128440367
2017,GAH2_2017,6.8,2.6,319,85,17.68,27115,46.24,6.76,404,0.579207921
2017,IAH1_2017,6.1,4.8,149,23,29.28,3427,37.21,23.04,172,0.73255814
2017,IAH2_2017,6.2,3.9,99,26,24.18,2574,38.44,15.21,125,0.584
2017,IAH3_2017,6.5,3.7,102,23,24.05,2346,42.25,13.69,125,0.632
2017,IAH4_2017,6.1,4.6,106,11,28.06,1166,37.21,21.16,117,0.811965812
2017,ILH1_2017,5.9,3.2,137,27,18.88,3699,34.81,10.24,164,0.670731707
2017,MIH1_2017,6.6,2.7,117.5,22,17.82,2585,43.56,7.29,139.5,0.684587814
2017,MNH1_2017,7.4,7.1,130,20,52.54,2600,54.76,50.41,150,0.733333333
2017,MOH1_2017,6.4,1.9,130,31,12.16,4030,40.96,3.61,161,0.614906832
2017,NCH1_2017,5.4,3.4,189,66,18.36,12474,29.16,11.56,255,0.482352941
2017,NEH3_2017,6.6,2.7,690,64,17.82,44160,43.56,7.29,754,0.830238727
2017,NEH4_2017,5.6,2.4,529,32,13.44,16928,31.36,5.76,561,0.885918004
2017,NYH1_2017,8,3.2,57,19,25.6,1083,64,10.24,76,0.5
2017,NYH2_2017,7.8,3.2,53,13,24.96,689,60.84,10.24,66,0.606060606
2017,NYH3_2017,7.9,3.1,55,13,24.49,715,62.41,9.61,68,0.617647059
2017,OHH1_2017,6.2,4.2,193,53,26.04,10229,38.44,17.64,246,0.569105691
2017,ONH2_2017,6.7,4.5,83,19,30.15,1577,44.89,20.25,102,0.62745098
2017,WIH1_2017,7.1,4.3,326,132,30.53,43032,50.41,18.49,458,0.423580786
2017,WIH2_2017,6.9,3.2,201,47,22.08,9447,47.61,10.24,248,0.620967742
2018,GAH2_2018,7.1,2,100.5,11,14.2,1105.5,50.41,4,111.5,0.802690583
2018,INH1_2018,6.9,2.9,146,27,20.01,3942,47.61,8.41,173,0.687861272
2018,MIH1_2018,6.1,2.9,147,21,17.69,3087,37.21,8.41,168,0.75
2018,MNH1_2018,6.5,4.8,161,28,31.2,4508,42.25,23.04,189,0.703703704
2018,MOH1_1_2018,6.8,2.6,99,15,17.68,1485,46.24,6.76,114,0.736842105
2018,MOH1_2_2018,7.1,2.9,97,19,20.59,1843,50.41,8.41,116,0.672413793
2018,NCH1_2018,5.6,1.3,141,56,7.28,7896,31.36,1.69,197,0.431472081
2018,NYH2_2018,7.1,3.2,59,21,22.72,1239,50.41,10.24,80,0.475
2018,NYH3_2018,7.7,3.6,57,23,27.72,1311,59.29,12.96,80,0.425
2018,ONH1_2017,7.7,2.7,98,95,20.79,9310,59.29,7.29,193,0.015544041
2018,WIH1_2018,7.1,4.3,326,132,30.53,43032,50.41,18.49,458,0.423580786
2018,WIH2_2018,6.9,3.2,201,47,22.08,9447,47.61,10.24,248,0.620967742
2019,DEH1_2019,6.6,2.4,125,136,15.84,17000,43.56,5.76,261,-0.042145594
2019,GAH1_2019,6.6,0.9,84,121,5.94,10164,43.56,0.81,205,-0.180487805
2019,GAH2_2019,5.7,1.2,71,38,6.84,2698,32.49,1.44,109,0.302752294
2019,GEH1_2019,6.7,3.4,265,89,22.78,23585,44.89,11.56,354,0.497175141
2019,IAH1_2019,6.3,5.3,177,54,33.39,9558,39.69,28.09,231,0.532467532
2019,IAH2_2019,5.9,4.7,281,58,27.73,16298,34.81,22.09,339,0.657817109
2019,IAH3_2019,6.1,4.1,186,45,25.01,8370,37.21,16.81,231,0.61038961
2019,IAH4_2019,6.3,4.5,177,42,28.35,7434,39.69,20.25,219,0.616438356
2019,INH1_2019,6.6,3.1,171,14,20.46,2394,43.56,9.61,185,0.848648649
2019,MIH1_2019,6.9,2.5,128,49,17.25,6272,47.61,6.25,177,0.446327684
2019,MNH1_2019,6.3,5.2,262,69,32.76,18078,39.69,27.04,331,0.583081571
2019,MOH1_2019,7,3,143,25,21,3575,49,9,168,0.702380952
2019,NEH1_2019,6.5,2.2,585,24,14.3,14040,42.25,4.84,609,0.921182266
2019,NEH2_2019,6.8,2.7,702,40,18.36,28080,46.24,7.29,742,0.892183288
2019,NYH1_2019,7.7,2.4,65,34,18.48,2210,59.29,5.76,99,0.313131313
2019,NYH2_2019,7.8,3.6,75,10,28.08,750,60.84,12.96,85,0.764705882
2019,NYH3_2019,7.7,3.6,55,8,27.72,440,59.29,12.96,63,0.746031746
2019,OHH1_2019,6.6,5,163,43,33,7009,43.56,25,206,0.582524272
2019,SCH1_2019,6.7,2.8,129,65,18.76,8385,44.89,7.84,194,0.329896907
2019,TXH1_2019,8.3,0.6,91,5,4.98,455,68.89,0.36,96,0.895833333
2019,TXH2_2019,8.4,1.1,172,11,9.24,1892,70.56,1.21,183,0.879781421
2019,TXH3_2019,8.3,1.1,162,12,9.13,1944,68.89,1.21,174,0.862068966
2019,WIH1_2019,7.4,4.9,322,130,36.26,41860,54.76,24.01,452,0.424778761
